,voltage,test_time,current,internal_resistance,charge_capacity,discharge_capacity,charge_energy,discharge_energy,temperature,cycle_index,cycle_type,step_index,step_index_counter,step_type,discharge_dQdV,charge_dQdV
16064,4.2126727,706445.1438892069,-0.011993591,0.0,0.2578448816,0.023227584295388598,0.9873879333,0.09963330439591489,,1,rpt_0.05C,13,2,1,-0.1818938,0.0
16065,4.209885,706597.456639708,-0.011970703,0.0,0.2578448816,0.023734659369050285,0.9873879333,0.10176873611895382,,1,rpt_0.05C,13,2,1,-0.17677493,1.9912505e-14
16066,4.207097,706745.4836759232,-0.012001508,0.0,0.25784488159999996,0.024227464291524434,0.9873879332999999,0.1038426866958472,,1,rpt_0.05C,13,2,1,-0.17607301,-1.9912505e-14
16067,4.2043095,706892.9216649967,-0.011993591,0.0,0.2578448816,0.024718312422595777,0.9873879333000001,0.1059070459098025,,1,rpt_0.05C,13,2,1,-0.1774469,0.0
16068,4.201522,707041.5109626395,-0.012004538,0.0,0.2578448816,0.025212990632649715,0.9873879333,0.10798612908303962,,1,rpt_0.05C,13,2,1,-0.17677511,0.0
16069,4.198734,707189.5379988549,-0.011983155,0.0,0.2578448816,0.025705796039380936,0.9873879333,0.11005598852003948,,1,rpt_0.05C,13,2,1,-0.18398556,-1.9912505e-14
16070,4.195946,707343.6019056864,-0.011984238,0.0,0.2578448816000001,0.026218702406176055,0.9873879333,0.11220882472139307,,1,rpt_0.05C,13,2,1,-0.17980365,1.9912505e-14
16071,4.1931586,707494.1634998568,-0.011993591,0.0,0.2578448816,0.026719950665886796,0.9873879333,0.11431130932228181,,1,rpt_0.05C,13,2,1,-0.17741042,0.0
16072,4.1903706,707642.722750501,-0.011993591,0.0,0.2578448816,0.027214527182039493,0.9873879333,0.1163844564485773,,1,rpt_0.05C,13,2,1,-0.1784748,0.0
16073,4.187583,707792.1728757515,-0.011968699,0.0,0.2578448816,0.027712070927813144,0.9873879333,0.11846866529788333,,1,rpt_0.05C,13,2,1,-0.18467535,0.0
16074,4.1847954,707946.8160370741,-0.011977603,0.0,0.2578448816,0.028226900290825332,0.9873879333,0.12062385167250847,,1,rpt_0.05C,13,2,1,-0.18189399,0.0
16075,4.1820073,708099.128787575,-0.011993591,0.0,0.2578448816,0.028733975880283074,0.9873879333,0.12274515727154814,,1,rpt_0.05C,13,2,1,-0.186949,0.0
16076,4.1792197,708255.6741533066,-0.011970703,0.0,0.2578448816,0.029255143586002886,0.9873879333,0.12492394744831292,,1,rpt_0.05C,13,2,1,-0.18137929,0.0
16077,4.176432,708407.5555577823,-0.011970703,0.0,0.2578448816,0.029760784326627706,0.9873879333000001,0.1270363999872462,,1,rpt_0.05C,13,2,1,-0.1824708,0.0
16078,4.173644,708560.3527533639,-0.011993591,0.0,0.2578448816,0.03026946791990956,0.9873879333,0.12916014393552716,,1,rpt_0.05C,13,2,1,-0.18321092,0.0
16079,4.1708565,708713.768504509,-0.012010446,0.0,0.2578448816,0.030780214820445052,0.9873879333,0.1312911046321693,,1,rpt_0.05C,13,2,1,-0.18235523,0.0
16080,4.168069,708866.4667134269,-0.011978795,0.0,0.2578448816,0.03128857623393797,0.9873879333,0.13341070053124288,,1,rpt_0.05C,13,2,1,-0.18553178,0.0
16081,4.165281,709021.8259068136,-0.011993591,0.0,0.2578448816,0.03180579308578982,0.9873879333,0.13556577461728503,,1,rpt_0.05C,13,2,1,-0.18335572,-1.9912505e-14
16082,4.162493,709175.3623484469,-0.011977573,0.0,0.2578448816000001,0.03231694361844932,0.9873879333000001,0.13769414607012898,,1,rpt_0.05C,13,2,1,-0.18267357,1.9912505e-14
16083,4.1597056,709328.3275601203,-0.01197645,0.0,0.2578448816,0.03282619250288242,0.9873879333000001,0.13981318234789075,,1,rpt_0.05C,13,2,1,-0.18127955,0.0
16084,4.1569176,709480.1263660656,-0.011979451,0.0,0.2578448816,0.03333155519169901,0.9873879333000001,0.14191466248512716,,1,rpt_0.05C,13,2,1,-0.18517025,0.0
16085,4.15413,709635.183318512,-0.01201648,0.0,0.2578448816,0.03384776420101264,0.9873879333,0.1440598104386402,,1,rpt_0.05C,13,2,1,-0.19201383,0.0
16086,4.1513424,709795.9708288005,-0.012008766,0.0,0.2578448816,0.034383051398295575,0.9873879333,0.14628272185402258,,1,rpt_0.05C,13,2,1,-0.18451792,0.0
16087,4.1485543,709950.4806318888,-0.011970703,0.0,0.2578448816,0.03489744186147778,0.9873879333,0.14841741085917876,,1,rpt_0.05C,13,2,1,-0.17927147,1.9912505e-14
16088,4.1457667,710100.5963298024,-0.011993994,0.0,0.25784488159999996,0.035397206547088514,0.9873879333,0.15049002523438326,,1,rpt_0.05C,13,2,1,-0.18382734,-1.9912505e-14
16089,4.142979,710254.5279452656,-0.011984945,0.0,0.2578448816,0.03590967183888666,0.9873879333000001,0.1526139162891241,,1,rpt_0.05C,13,2,1,-0.1986822,0.0
16090,4.140191,710420.8983684035,-0.011966859,0.0,0.2578448816,0.03646354881622485,0.9873879333,0.15490785047356034,,1,rpt_0.05C,13,2,1,-0.17782156,0.0
16091,4.1374035,710569.8018211423,-0.011976717,0.0,0.2578448816,0.036959271487577,0.9873879333,0.15695953527932102,,1,rpt_0.05C,13,2,1,-0.19050443,0.0
16092,4.1346154,710729.3254778307,-0.011993591,0.0,0.2578448816,0.03749035087505969,0.9873879333000001,0.1591560858422356,,1,rpt_0.05C,13,2,1,-0.18154901,-1.9912505e-14
16093,4.131828,710881.349134519,-0.012005408,0.0,0.2578448816000001,0.03799646476196671,0.9873879333,0.16124797145889921,,1,rpt_0.05C,13,2,1,-0.183205,1.9912505e-14
16094,4.1290402,711034.760258851,-0.011993591,0.0,0.2578448816,0.03850719511175826,0.9873879333,0.16335755949738473,,1,rpt_0.05C,13,2,1,-0.19332664,0.0
16095,4.126252,711196.6464478958,-0.0119941905,0.0,0.2578448816,0.03904614208990476,0.9873879333,0.1655821668509179,,1,rpt_0.05C,13,2,1,-0.18714556,0.0
16096,4.1234646,711353.3572623819,-0.011993591,0.0,0.2578448816,0.03956785776089449,0.9873879333,0.16773415436985878,,1,rpt_0.05C,13,2,1,-0.19386429,0.0
16097,4.120677,711515.6937612726,-0.011993591,0.0,0.2578448816,0.040108303569665216,0.9873879333,0.16996189513010407,,1,rpt_0.05C,13,2,1,-0.18015993,0.0
16098,4.117889,711666.5541919554,-0.011986491,0.0,0.2578448816,0.04061054502424494,0.9873879333,0.17203075495194092,,1,rpt_0.05C,13,2,1,-0.18741494,0.0
16099,4.1151013,711823.4910746493,-0.011995398,0.0,0.2578448816,0.04113301166058298,0.9873879333,0.17418151064865459,,1,rpt_0.05C,13,2,1,-0.18154812,0.0
16100,4.1123137,711975.5147313377,-0.011948605,0.0,0.2578448816,0.04163912303847477,0.9873879333000001,0.1762635308321149,,1,rpt_0.05C,13,2,1,-0.1920585,0.0
16101,4.1095257,712136.3402289683,-0.011993591,0.0,0.2578448816,0.042174534809730886,0.9873879333,0.17846459645488683,,1,rpt_0.05C,13,2,1,-0.19514,0.0
16102,4.106738,712299.7457715431,-0.012011815,0.0,0.2578448816,0.04271853703480963,0.9873879332999999,0.18069940816036079,,1,rpt_0.05C,13,2,1,-0.17374422,0.0
16103,4.1039505,712445.2340158889,-0.011993591,0.0,0.2578448816,0.04320289307583642,0.9873879333,0.18268784463725277,,1,rpt_0.05C,13,2,1,-0.20104696,0.0
16104,4.1011624,712613.5859205911,-0.011987696,0.0,0.2578448816,0.04376336241675852,0.9873879333,0.18498722878674695,,1,rpt_0.05C,13,2,1,-0.1815484,0.0
16105,4.098375,712765.6095772795,-0.011970703,0.0,0.2578448816,0.044269474595183406,0.9873879333,0.18706217440479975,,1,rpt_0.05C,13,2,1,-0.18794788,0.0
16106,4.0955873,712922.991763527,-0.011990339,0.0,0.2578448816,0.04479342695369906,0.9873879333,0.1892088334385855,,1,rpt_0.05C,13,2,1,-0.18410689,0.0
16107,4.092799,713077.1568906563,-0.011993591,0.0,0.2578448816,0.0453066715564973,0.9873879333,0.1913102007767767,,1,rpt_0.05C,13,2,1,-0.19083203,0.0
16108,4.0900116,713236.9540631262,-0.011949484,0.0,0.2578448816,0.04583866421119738,0.9873879333,0.19348684759154552,,1,rpt_0.05C,13,2,1,-0.19487302,0.0
