rpt_low_energy,rpt_med_energy,regu_energy,rpt_low_cap,rpt_med_cap,regu_cap,seq_num,diag_pos,cycle_index
0.928241693,0.919674146,0.892721416,0.245444732,0.243766677,0.239087503,302,3,230
0.921009683,0.912804568,0.884200591,0.24352656,0.241960113,0.236954155,302,4,333
0.911972095,0.90343262,0.872964713,0.241100464,0.239466538,0.234077866,302,5,436
0.902580334,0.892883555,0.853242604,0.238589843,0.23667195,0.228914248,302,6,539
0.886823084,0.875913046,0.824386053,0.234323528,0.232048929,0.221180315,302,7,642
0.869837263,0.855207817,0.8132682,0.229761866,0.226612596,0.217744557,302,8,745
0.854928526,0.840604105,0.75659675,0.225945763,0.222962523,0.203758576,302,9,848
0.841047742,0.825401196,0.730817026,0.222291889,0.219124135,0.197255069,302,10,951
0.808562172,0.792848925,0.693545363,0.213355417,0.210371778,0.18743679,302,11,1054
0.691661133,0.664951579,0.454253525,0.181439325,0.175535453,0.123717947,302,12,1157
,,0.919068451,,,0.247523563,281,hppc_1,8
1.00867985,0.980786041,0.919386169,0.268056697,0.261099932,0.247571045,281,0,0
0.998046502,0.975222119,0.91575979,0.264964034,0.259566951,0.24674201,281,1,24
0.975359571,0.957027115,0.905949635,0.258618596,0.254629444,0.244537106,281,2,127
0.964098131,0.946121882,0.897557024,0.255513104,0.251694791,0.242537683,281,3,230
0.955381404,0.937246843,0.88660952,0.253177826,0.249414685,0.24010084,281,4,333
0.947920916,0.929500318,0.879132965,0.251162037,0.247368234,0.238271222,281,5,436
0.940894115,0.922192545,0.870563568,0.249279199,0.245456705,0.23617198,281,6,539
0.930785927,0.912128149,0.859525369,0.246517784,0.242737331,0.233311232,281,7,642
0.920910861,0.901394362,0.843969824,0.24381492,0.239816,0.229179096,281,8,745
0.903388795,0.880309741,0.807560719,0.239095952,0.234174134,0.219640007,281,9,848
0.883954706,0.858699758,0.77504163,0.23391573,0.228454029,0.211172615,281,10,951
0.87852877,0.853451411,0.764497193,0.232477764,0.227172735,0.208517363,281,11,1054
0.867267078,0.837249475,0.709093983,0.229589408,0.223269296,0.194721317,281,12,1157
0.850888719,0.807264199,0.620163698,0.225287122,0.215471488,0.170719926,281,13,1260
0.831809028,0.768439147,0.541776018,0.220247549,0.205279373,0.149495945,281,14,1363
0.78688046,0.69623834,0.423095821,0.207943233,0.185816876,0.117315831,281,15,1466
,,0.909512376,,,0.244741894,139,hppc_1,8
0.991752899,0.967198837,0.908895382,0.26346656,0.257278421,0.244571439,139,0,0
0.980835314,0.963114304,0.905564629,0.260377185,0.256214859,0.243786883,139,1,24
0.957160805,0.945127946,0.89538674,0.253797934,0.251451837,0.241635012,139,2,127
0.944934187,0.9326037,0.885598945,0.250452949,0.248113532,0.239355744,139,3,230
0.934164921,0.921125692,0.873567779,0.247534137,0.245069239,0.236422511,139,4,333
0.916921909,0.903168378,0.850910574,0.242840152,0.240226885,0.23051992,139,5,436
0.904840585,0.889126967,0.823724676,0.239634181,0.236518293,0.223258449,139,6,539
0.887168579,0.871566835,0.730035033,0.234958504,0.232014807,0.19849127,139,7,642
0.8621167,0.842750334,0.648753042,0.228338044,0.224540963,0.176792888,139,8,745
0.838273374,0.806678805,0.555816241,0.222071368,0.21537698,0.152363483,139,9,848
0.805808699,0.742644024,0.495177848,0.213333978,0.198546456,0.136446578,139,10,951
0.751597667,0.637262993,0.366266271,0.198714103,0.170342707,0.101636446,139,11,1054
0.673953331,0.531831562,0.171187128,0.177718806,0.142099758,0.048433326,139,12,1157
,,0.921919273,,,0.246570555,156,hppc_1,8
0.995173947,0.973977122,0.921271179,0.26425507,0.258656527,0.246439462,156,0,0
0.985529642,0.970305561,0.917899776,0.261480153,0.257675386,0.245590042,156,1,24
0.957705199,0.949223795,0.906035003,0.253771078,0.25198049,0.242656349,156,2,127
0.945109868,0.935947534,0.895994657,0.250313162,0.248401866,0.240156435,156,3,230
0.933590609,0.924742589,0.882004852,0.247215515,0.245449643,0.236649697,156,4,333
0.912782838,0.902605887,0.849729192,0.241594416,0.239498767,0.228164822,156,5,436
0.899411582,0.888315846,0.804602175,0.238118691,0.235865097,0.21631517,156,6,539
0.872463469,0.857667489,0.672737231,0.231000103,0.227953381,0.181486224,156,7,642
0.840565421,0.818785496,0.594493676,0.222452173,0.218100607,0.161232723,156,8,745
0.79569256,0.75090132,0.517719582,0.210451455,0.200049556,0.141527157,156,9,848
0.714204989,0.618851717,0.354845893,0.188347592,0.164614474,0.097755576,156,10,951
,,0.912381973,,,0.2440312,176,hppc_1,8
0.990815416,0.965735665,0.911433489,0.263175934,0.256452631,0.243809676,176,0,0
0.981854647,0.963885112,0.910001735,0.260563195,0.255955389,0.243452679,176,1,24
